ph,chlorine,hardness,nitrate,label
6.9,0.93,47.9,1.9,Safe
6.03,4.34,349.8,62.75,Unsafe
6.83,2.65,209.3,15.06,Caution
7.46,2.48,405.3,27.16,Unsafe
7.06,1.41,86.0,11.9,Caution
7.03,2.25,139.3,20.54,Caution
6.94,1.7,229.7,32.39,Caution
7.51,0.82,119.0,10.12,Safe
6.87,2.09,253.3,28.77,Caution
6.44,0.87,279.3,33.92,Caution
6.87,0.9,90.5,0.9,Safe
9.92,0.07,332.8,89.55,Unsafe
7.98,0.35,134.1,9.1,Safe
9.67,0.09,338.1,71.81,Unsafe
9.93,0.05,451.7,15.61,Unsafe
7.79,0.43,116.9,0.0,Safe
5.74,0.41,297.0,14.1,Unsafe
7.23,0.59,78.4,11.46,Caution
7.62,2.4,256.1,31.26,Caution
7.62,1.68,125.1,9.28,Safe
7.65,2.22,338.0,6.52,Caution
6.41,1.05,287.6,31.75,Caution
5.48,0.08,337.8,54.64,Unsafe
5.08,0.14,233.6,109.88,Safe
9.62,4.33,487.3,49.3,Unsafe
7.36,0.91,285.4,44.11,Caution
6.55,1.79,242.9,21.47,Caution
6.74,0.12,81.5,4.05,Caution
6.5,0.51,278.7,22.79,Caution
9.02,0.05,390.1,67.98,Unsafe
6.22,1.2,191.5,15.28,Caution
6.95,0.81,7.6,4.38,Safe
7.27,0.65,140.1,7.73,Safe
7.58,0.9,117.7,3.53,Safe
6.42,1.03,158.1,9.73,Caution
6.48,1.44,225.5,20.49,Caution
6.15,0.0,314.7,65.19,Unsafe
7.13,1.07,16.2,4.87,Safe
5.18,1.87,213.2,21.49,Unsafe
6.62,1.63,205.0,1.61,Caution
5.47,7.58,387.8,51.29,Unsafe
7.55,1.03,64.6,4.16,Safe
4.82,0.1,396.0,59.39,Unsafe
6.11,1.12,170.1,25.96,Caution
8.42,1.89,227.0,23.71,Caution
9.03,0.02,478.0,75.06,Unsafe
6.26,0.0,227.0,0.0,Unsafe
9.29,0.09,356.1,52.11,Unsafe
6.2,0.79,84.2,0.0,Caution
7.53,2.36,308.8,20.1,Unsafe
7.48,0.88,80.5,4.66,Safe
7.39,1.52,110.3,0.44,Safe
5.84,2.88,195.9,14.49,Unsafe
7.19,0.49,66.3,2.6,Safe
6.58,0.34,107.1,0.0,Safe
6.48,0.14,188.0,30.89,Caution
6.88,1.17,39.3,8.72,Safe
7.37,0.7,95.1,0.67,Safe
7.27,0.4,249.9,22.89,Caution
6.63,1.79,315.2,24.22,Caution
6.91,0.89,69.5,5.8,Safe
6.55,0.2,247.2,17.5,Caution
6.17,1.9,223.1,26.81,Caution
8.19,0.11,455.0,45.94,Unsafe
7.11,0.82,64.3,6.46,Safe
5.35,4.12,303.4,30.6,Unsafe
7.21,0.82,82.7,6.17,Safe
5.91,4.68,455.0,101.24,Unsafe
7.48,2.71,216.2,19.89,Caution
7.84,1.43,298.4,25.52,Caution
5.3,0.08,355.1,90.2,Unsafe
7.19,1.05,79.3,3.77,Safe
7.08,1.12,64.8,4.43,Safe
7.04,1.52,193.6,0.0,Caution
7.81,1.37,270.4,24.37,Caution
5.41,0.13,366.3,62.15,Unsafe
8.74,0.0,685.7,67.33,Unsafe
7.07,3.69,311.0,18.93,Unsafe
7.36,1.13,27.6,8.4,Safe
6.97,0.25,94.3,3.59,Safe
7.18,0.95,68.4,4.61,Safe
6.09,0.01,401.1,58.04,Unsafe
7.57,0.95,203.4,8.16,Caution
5.5,1.81,334.2,17.47,Unsafe
5.48,4.72,556.0,53.99,Unsafe
7.81,1.01,96.1,4.21,Safe
6.79,2.33,264.1,33.47,Caution
7.28,1.24,93.1,6.18,Safe
9.69,4.25,385.8,63.4,Unsafe
6.31,4.36,226.7,52.08,Unsafe
6.97,0.8,38.3,9.27,Safe
7.37,0.89,13.2,0.0,Safe
7.14,1.27,59.7,0.13,Safe
5.47,4.18,474.0,107.2,Unsafe
6.94,0.76,48.1,10.97,Safe
6.85,1.15,96.0,0.83,Safe
7.07,0.32,121.5,2.82,Safe
7.36,0.44,62.9,6.53,Safe
5.62,0.11,420.1,68.79,Unsafe
7.44,0.9,182.9,15.44,Caution
7.31,0.81,116.1,7.33,Safe
7.42,3.0,167.4,19.74,Caution
6.81,1.34,354.5,0.0,Caution
6.07,1.03,176.3,29.72,Caution
6.5,1.07,215.4,25.23,Caution
7.35,0.49,157.0,4.51,Caution
7.47,0.96,124.1,3.32,Safe
7.0,0.43,146.9,12.47,Safe
6.06,0.05,348.0,87.66,Unsafe
8.8,0.1,416.7,44.06,Unsafe
7.26,1.58,45.6,4.92,Safe
6.72,1.17,248.4,18.14,Caution
6.82,0.71,127.5,6.81,Safe
9.2,0.12,360.5,48.71,Unsafe
7.1,0.0,172.9,34.05,Caution
7.23,0.93,228.2,36.9,Caution
5.67,1.43,268.7,12.3,Unsafe
5.67,5.11,455.2,1.66,Unsafe
7.29,1.39,262.9,13.5,Caution
7.36,0.97,112.0,5.4,Safe
6.45,0.06,257.9,50.0,Unsafe
6.21,0.8,87.4,27.65,Caution
7.77,1.4,103.6,4.09,Safe
6.75,0.84,257.3,13.96,Caution
8.71,5.67,403.9,75.54,Unsafe
7.27,1.4,74.7,2.82,Safe
6.76,3.81,303.5,13.47,Unsafe
8.18,0.74,92.5,1.11,Safe
5.78,0.0,505.8,65.45,Unsafe
5.81,5.59,516.2,74.09,Unsafe
7.99,0.81,233.0,21.64,Safe
5.3,3.57,548.0,70.5,Unsafe
8.04,0.53,23.6,8.86,Safe
7.07,2.01,241.8,28.97,Caution
8.78,0.11,351.5,84.53,Unsafe
5.64,4.96,440.0,52.65,Unsafe
7.36,0.81,66.9,10.03,Safe
7.48,2.78,272.5,32.81,Caution
7.78,0.84,234.2,12.57,Caution
6.9,0.34,91.5,6.18,Safe
9.13,3.83,393.2,59.43,Unsafe
9.99,0.05,512.2,53.13,Unsafe
7.27,0.35,117.0,8.8,Safe
7.49,0.04,287.1,37.11,Caution
6.78,0.54,74.4,7.81,Unsafe
7.74,0.66,73.4,0.24,Safe
7.35,0.74,95.1,4.75,Safe
5.26,3.86,424.5,58.89,Unsafe
6.88,0.3,162.2,20.51,Caution
7.7,0.89,125.1,8.24,Safe
8.98,3.68,441.3,57.25,Unsafe
7.37,0.82,102.8,9.7,Safe
5.81,1.84,263.5,27.75,Unsafe
6.53,0.83,155.3,19.0,Caution
4.73,0.08,581.1,52.97,Unsafe
9.11,0.0,189.0,44.67,Unsafe
7.29,0.85,113.4,32.2,Safe
7.42,0.09,24.9,4.16,Caution
7.04,0.96,104.5,4.57,Safe
7.17,0.56,56.5,9.34,Safe
7.56,0.98,140.4,5.49,Safe
8.33,4.7,437.9,64.88,Unsafe
6.26,0.0,211.8,36.48,Safe
6.95,0.63,74.6,8.97,Safe
9.25,4.97,362.0,18.02,Unsafe
6.62,0.0,450.9,54.94,Unsafe
7.4,0.92,116.7,8.53,Safe
6.83,0.85,55.9,6.46,Safe
6.7,1.53,189.4,36.82,Caution
9.24,0.0,487.7,65.4,Unsafe
7.09,0.83,161.3,0.0,Caution
7.39,0.58,64.5,9.12,Safe
10.0,4.67,439.3,42.76,Unsafe
10.01,0.06,310.3,40.14,Unsafe
7.22,0.89,96.8,11.62,Safe
7.78,1.01,109.7,5.05,Safe
6.49,0.06,334.0,71.64,Unsafe
6.66,1.41,284.3,3.9,Caution
6.86,0.74,41.5,0.77,Safe
7.04,0.68,95.2,6.68,Safe
6.75,0.37,83.2,3.22,Safe
7.2,1.04,93.0,21.47,Caution
7.64,1.88,30.2,2.78,Safe
6.63,1.39,62.9,8.08,Safe
10.01,3.5,615.9,69.4,Unsafe
6.15,1.09,54.9,0.73,Caution
6.97,0.47,209.8,35.81,Caution
9.59,0.1,282.8,48.0,Unsafe
9.74,0.11,259.5,79.32,Unsafe
7.19,1.13,63.2,3.26,Safe
8.17,2.85,115.6,15.34,Caution
7.3,1.53,37.5,4.98,Safe
7.66,0.88,135.2,6.23,Safe
7.04,2.07,274.2,26.97,Caution
5.66,4.64,494.4,62.73,Unsafe
7.47,1.09,91.5,2.57,Safe
7.23,1.52,102.5,7.89,Safe
7.33,1.46,253.6,15.67,Caution
7.04,1.55,271.8,28.07,Caution
7.16,0.86,93.7,7.54,Safe
6.61,1.56,334.8,19.23,Caution
7.14,0.96,98.6,6.48,Safe
6.99,0.13,123.9,6.34,Caution
9.11,0.04,298.9,97.84,Unsafe
6.95,1.1,25.0,8.82,Safe
7.23,0.62,51.5,5.7,Safe
8.94,0.06,590.1,31.22,Unsafe
7.25,0.6,217.5,22.67,Caution
8.52,0.0,280.1,0.0,Caution
6.8,1.59,115.6,26.62,Caution
7.47,2.24,207.7,21.59,Unsafe
7.15,1.95,236.5,17.05,Caution
7.33,0.55,37.6,2.86,Safe
7.06,0.93,139.9,7.44,Safe
10.02,0.16,360.3,47.76,Unsafe
7.49,1.81,76.8,3.63,Safe
5.12,4.75,422.6,58.43,Unsafe
7.09,2.69,314.3,37.7,Unsafe
7.47,1.04,97.5,4.87,Safe
7.14,0.51,262.8,10.16,Caution
6.07,1.24,203.9,4.78,Caution
7.19,1.3,136.0,8.6,Safe
6.52,1.33,252.6,13.93,Caution
7.47,0.99,111.4,0.0,Safe
9.39,3.52,303.6,85.33,Unsafe
5.84,0.0,597.4,39.06,Unsafe
7.08,0.98,145.7,4.48,Safe
6.98,0.49,95.7,7.19,Safe
7.28,2.42,227.6,0.0,Caution
6.13,3.21,348.9,68.2,Unsafe
8.95,5.49,477.0,79.35,Unsafe
7.92,2.61,237.8,8.53,Caution
6.32,0.62,140.1,29.95,Safe
6.79,1.2,285.8,14.78,Caution
9.27,6.36,436.8,99.5,Unsafe
9.09,3.82,336.9,81.14,Unsafe
6.49,0.05,407.6,77.95,Unsafe
10.21,4.55,578.1,50.14,Unsafe
4.98,0.06,283.1,54.23,Unsafe
7.04,2.64,124.9,22.31,Caution
7.42,1.02,116.3,7.62,Safe
9.44,4.34,339.2,44.47,Unsafe
7.31,1.24,49.2,11.03,Caution
7.2,0.79,81.2,7.98,Safe
5.37,4.19,189.2,75.38,Unsafe
10.07,2.73,382.9,26.81,Unsafe
6.32,1.9,90.5,21.63,Caution
7.03,1.33,104.1,0.0,Safe
9.2,0.15,360.9,94.12,Unsafe
7.35,1.65,153.0,26.15,Caution
7.0,1.39,163.3,31.92,Caution
5.29,4.27,425.9,33.57,Unsafe
7.84,0.54,121.9,2.83,Safe
7.63,1.13,59.2,7.02,Safe
7.13,0.6,151.5,1.91,Safe
7.03,2.29,202.7,21.92,Caution
6.92,0.41,123.0,6.48,Safe
7.06,1.38,91.8,9.29,Safe
7.47,1.19,71.3,3.79,Safe
7.63,1.56,89.4,1.12,Safe
7.11,1.33,246.8,21.4,Caution
6.25,0.47,250.6,37.29,Caution
7.47,1.65,87.8,0.97,Safe
7.57,1.06,43.4,1.02,Safe
4.75,0.09,383.5,42.66,Unsafe
7.94,1.33,117.5,2.11,Safe
5.89,2.84,391.2,65.92,Unsafe
6.4,2.23,294.2,21.49,Caution
9.46,4.85,366.7,93.8,Unsafe
7.22,3.29,267.6,5.95,Caution
5.73,4.36,550.9,79.35,Unsafe
9.19,0.08,450.8,42.59,Unsafe
7.38,0.68,141.3,4.2,Safe
9.67,5.14,328.6,44.35,Unsafe
7.09,1.61,29.3,6.5,Safe
5.86,2.38,197.2,25.77,Unsafe
5.22,0.0,496.7,65.86,Unsafe
7.03,0.93,186.9,7.5,Caution
7.29,1.07,101.8,2.47,Safe
5.65,4.55,496.1,20.94,Unsafe
7.98,1.34,140.7,13.4,Caution
7.3,1.25,61.1,4.99,Safe
6.42,2.17,219.4,8.24,Caution
6.82,0.98,111.6,5.0,Safe
8.19,0.04,541.6,35.68,Unsafe
8.76,0.09,361.9,80.19,Unsafe
8.85,5.12,380.0,37.04,Unsafe
7.41,0.97,267.3,30.22,Caution
6.85,0.0,287.4,42.65,Caution
5.18,4.19,403.5,49.53,Unsafe
9.87,0.0,416.6,75.58,Unsafe
7.07,0.42,122.9,4.72,Safe
7.66,0.64,125.3,0.92,Safe
9.14,0.04,93.7,85.45,Unsafe
5.5,5.28,250.8,61.07,Unsafe
6.4,0.83,214.6,28.15,Caution
9.82,3.61,281.5,80.68,Unsafe
6.92,0.49,82.8,10.29,Caution
6.31,1.4,202.3,25.58,Caution
4.94,0.05,365.6,76.03,Unsafe
5.76,0.12,547.8,75.7,Unsafe
7.57,2.02,10.4,7.09,Caution
7.1,1.82,285.1,27.51,Caution
10.16,0.07,430.0,88.89,Unsafe
6.79,0.26,216.8,5.45,Safe
6.52,0.99,114.3,0.42,Safe
7.81,1.3,20.4,0.46,Safe
7.1,1.76,183.0,21.77,Caution
6.98,0.52,77.6,1.69,Safe
9.31,0.13,480.3,56.0,Unsafe
7.2,2.14,197.6,43.21,Caution
6.57,0.59,149.0,22.87,Caution
7.15,1.04,80.7,3.05,Safe
6.85,1.72,127.1,5.82,Safe
6.78,2.34,140.1,5.32,Unsafe
8.5,1.36,132.6,15.02,Safe
6.99,1.17,67.2,3.64,Safe
5.43,6.43,462.5,102.41,Unsafe
5.79,0.73,253.9,22.21,Unsafe
7.04,0.48,150.7,9.64,Safe
10.11,3.75,335.1,45.82,Unsafe
7.83,0.66,97.7,1.13,Safe
5.93,0.01,476.9,68.9,Unsafe
6.58,2.11,242.5,30.66,Caution
5.48,5.56,369.4,72.83,Unsafe
5.91,3.74,432.1,72.85,Unsafe
7.35,0.7,128.8,2.35,Safe
5.68,1.79,265.7,19.2,Unsafe
9.84,0.0,372.5,75.59,Unsafe
5.35,4.81,482.6,65.58,Unsafe
8.94,3.7,405.2,47.53,Unsafe
